Wall time: 4h 16min 28s
-7265602878629.666992 (262334393371.131470) with: {'dropout_rate': 0}
-7205370291657.745117 (401797814628.040161) with: {'dropout_rate': 0.1}
-7454679649232.321289 (428511620948.480225) with: {'dropout_rate': 0.2}
-8297267760647.449219 (1174625860920.762939) with: {'dropout_rate': 0.3}
-8064516853520.819336 (754014701745.019043) with: {'dropout_rate': 0.4}
-8377738292541.740234 (1254092411578.942627) with: {'dropout_rate': 0.5}
-9737388366367.345703 (3084092900598.801758) with: {'dropout_rate': 0.6}
-18536998733931.316406 (15109992319116.308594) with: {'dropout_rate': 0.7}
-21355292400022.125000 (18553386274453.828125) with: {'dropout_rate': 0.8}
-23967584863782.199219 (17497717473146.121094) with: {'dropout_rate': 0.9}
